Facility Name,BeginDate,EndDate,PayerName,Proration,SpclRate,Amount,Pct,Monthly,HospHold,HospHoldAmount,HospPct,HospHoldMonthly,TherLv,TherLvHoldAmount,TherLvPct,TherLvHoldMonthly,
Ashford Place Health Campus AL,5/7/2025,12/31/2025,Private AL,2,1,5709,0,1,1,5709,0,1,1,5709,0,1,
Ashford Place Health Campus HC,5/7/2018,,Insurance Per Diem,0,1,485,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,317,0,0,1,317,0,0,1,317,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,299,0,0,1,299,0,0,1,299,0,0,
Ashford Place Health Campus HC,4/22/2016,,Insurance Per Diem,0,1,200,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,1/1/2025,12/31/2025,Private HCC,1,1,326,0,0,1,326,0,0,1,326,0,0,
Ashford Place Health Campus HC,6/5/2018,,MSP-Medicare A,0,1,300,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,349,0,0,1,349,0,0,1,349,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,329,0,0,1,329,0,0,1,329,0,0,
Ashford Place Health Campus HC,6/24/2020,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,7/15/2017,,Insurance Per Diem,0,1,375,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,12/7/2018,,Medicare A Replacement,0,1,306,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,10/1/2014,,Insurance Per Diem,0,1,325,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,317,0,0,1,317,0,0,1,317,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,299,0,0,1,299,0,0,1,299,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,317,0,0,1,317,0,0,1,317,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,299,0,0,1,299,0,0,1,299,0,0,
Ashford Place Health Campus HC,1/1/2025,12/31/2025,Private HCC,1,1,294,0,0,1,294,0,0,1,294,0,0,
Ashford Place Health Campus HC,11/1/2019,,Hospice Insurance,0,1,219.83,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,9/20/2019,,Hospice Private,0,1,219.83,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,338,0,0,1,338,0,0,1,338,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,319,0,0,1,319,0,0,1,319,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,317,0,0,1,317,0,0,1,317,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,299,0,0,1,299,0,0,1,299,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Hospice Private,1,1,317,0,0,1,317,0,0,1,317,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Hospice Private,1,1,299,0,0,1,299,0,0,1,299,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Hospice Private,1,1,349,0,0,1,349,0,0,1,349,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,329,0,0,1,329,0,0,1,329,0,0,
Ashford Place Health Campus HC,1/1/2025,12/31/2025,Private HCC,1,1,294,0,0,1,294,0,0,1,294,0,0,
Ashford Place Health Campus HC,10/13/2016,,Insurance Per Diem,0,1,200,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,8/11/2020,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,7/5/2018,,Medicare A Replacement,0,1,306,0,0,0,0,0,0,0,0,0,0,
Ashford Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,317,0,0,1,317,0,0,1,317,0,0,
Ashford Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,299,0,0,1,299,0,0,1,299,0,0,
